,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,mr useless,1Ar2McJ98hNvgsHlxLTPQc,Shygirl,3M3wTTCDwicRubwMyHyEDy,Club Shy (extended),2024-03-01,149506,False,5,58,2024-11-06,0.697,0.943,7,-4.152,1,0.0402,0.00177,0.00738,0.214,0.502,131.997,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
1,Why Lie?,6NpWosxIza4XEiGk190FAy,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Why Lie?,2024-10-11,226000,True,1,65,2024-11-06,0.587,0.496,10,-11.417,0,0.221,0.231,0.0,0.11,0.605,119.853,4,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",74,1372988
2,Who Told You (feat. Drake),40EXFgNMOIQRQOwJZ8mJkC,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Who Told You (feat. Drake),2023-06-08,208917,True,1,63,2024-11-06,0.732,0.736,11,-4.607,0,0.323,0.156,0.0,0.124,0.87,76.656,5,"['afroswing', 'grime', 'uk hip hop']",67,1299747
3,4eva,6c0Vmwoz6Dgn0sZP3ZMO07,Shygirl,3M3wTTCDwicRubwMyHyEDy,Club Shy (extended),2024-03-01,140933,False,1,55,2024-11-06,0.743,0.921,5,-4.206,0,0.029,0.00473,0.029,0.235,0.96,127.015,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
4,Written in the Stars (feat. Eric Turner),61HQWI1Woxup7CnGwVUsdI,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,Disc-Overy,2010-05-31,219560,True,8,49,2024-11-06,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017,4,"['dance pop', 'grime', 'pop rap']",64,840583
5,Who Told You (feat. Drake),6kgaI3kHkqmRimeGQdS4Ga,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Beautiful And Brutal Yard,2023-07-14,208920,True,3,61,2024-11-06,0.706,0.728,11,-4.606,0,0.332,0.155,0.0,0.0996,0.878,77.226,5,"['afroswing', 'grime', 'uk hip hop']",67,1299747
6,Burning (feat. M Huncho & Dutchavelli),3fAa5d2KhtXJ1gxB1wobQz,GRM Daily,4PCeJ2EIn3YtzYYRsHHWyy,GRM 10,2020-06-19,169714,True,2,61,2024-11-06,0.866,0.48,1,-8.885,1,0.264,0.0388,2.62e-05,0.109,0.473,140.11,4,"['grime', 'uk hip hop']",60,939497
7,Own It (feat. Ed Sheeran & Burna Boy),4QPEwDdOMhY7rNS05mTyMR,Stormzy,2SrSdSvpminqmStGELCSNd,Heavy Is The Head,2019-12-13,216706,False,11,65,2024-11-06,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,4,"['grime', 'uk hip hop']",74,3000273
8,encore,29DtfDAK5Q78nvlyPgYlWv,Shygirl,3M3wTTCDwicRubwMyHyEDy,encore,2024-05-14,169266,True,1,51,2024-11-06,0.758,0.923,5,-7.248,1,0.177,0.0689,0.314,0.097,0.144,127.044,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
9,Joga Bonito,13bPROSNrEszkMcTtX2SHh,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Joga Bonito,2024-04-18,124471,False,1,66,2024-11-06,0.85,0.693,0,-4.8,0,0.306,0.687,0.0,0.275,0.782,140.963,4,"['grime', 'uk hip hop', 'ukg revival']",68,1337430
10,Girls Like (feat. Zara Larsson),5BOZ4skcMubA0R6RD4zf64,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,YOUTH,2017-03-31,195306,True,10,64,2024-11-06,0.916,0.815,0,-3.418,1,0.0495,0.386,6.34e-06,0.0765,0.577,120.032,4,"['dance pop', 'grime', 'pop rap']",64,840583
11,Incredible Sauce (feat. Dave),7jxnHknJtjE1MM8IfUidMF,Giggs,3S0tlB4fE7ChxI2pWz8Xip,Zero Tolerance,2023-08-18,243883,True,17,65,2024-11-06,0.831,0.442,8,-10.193,1,0.0769,0.0399,2.63e-05,0.292,0.142,129.965,4,"['grime', 'london rap', 'uk hip hop']",63,523745
12,Bonkers,6ddQ5KCkvCggk3j6KdA0zL,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),2011-01-01,177573,False,1,63,2024-11-06,0.624,0.977,11,-3.34,0,0.22,0.00615,0.0,0.253,0.74,126.12,4,"['grime', 'instrumental grime']",63,500271
13,Vossi Bop,5DXKtoZLm31msT7tNGNHLG,Stormzy,2SrSdSvpminqmStGELCSNd,Heavy Is The Head,2019-12-13,196266,True,16,63,2024-11-06,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4,"['grime', 'uk hip hop']",74,3000273
14,Pepper,0OCFIEsSrmKueOiPK6S3xq,Flowdan,07CimrZi5vs9iEao47TNQ4,Pepper,2023-10-13,148965,False,1,53,2024-11-06,0.754,0.906,10,-3.237,0,0.107,0.00114,0.000269,0.0893,0.308,145.039,4,['grime'],67,105514
15,Dance Wiv Me - Radio Edit,6pTg4H8juKV9iSzrcVUbM3,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),2011-01-01,204093,False,3,63,2024-11-06,0.878,0.746,11,-4.281,1,0.0451,0.0476,0.0,0.155,0.792,111.996,4,"['grime', 'instrumental grime']",63,500271
16,Boasty (feat. Idris Elba),5X5YDBavdU5RjYMlxqwlCm,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),2019-01-22,177185,True,1,59,2024-11-06,0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,4,"['grime', 'uk dancehall', 'uk hip hop']",56,355105
17,Don't Rush (feat. DaBaby),3AMxuq6id3YGB57eWeheZQ,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,Don't Rush (feat. DaBaby),2020-06-12,201960,True,1,52,2024-11-06,0.959,0.508,2,-7.857,1,0.257,0.144,9.82e-05,0.136,0.346,107.998,4,"['afroswing', 'grime', 'nottingham hip hop', 'uk hip hop']",56,368261
18,thicc,7tNUNRjg5Q5JaGg5Q0zK0o,Shygirl,3M3wTTCDwicRubwMyHyEDy,Club Shy (extended),2024-03-01,222682,True,6,48,2024-11-06,0.652,0.824,0,-4.907,1,0.0338,0.00709,0.0769,0.223,0.527,129.988,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
19,Goodums - Sammy Virji Remix,0SLedTMdKihqLsR6CGPAfD,Unknown T,3iAhNz3e31lBuXYOsqGsf3,Goodums (Sammy Virji Remix),2023-10-20,184364,True,1,56,2024-11-06,0.881,0.724,10,-4.927,0,0.251,0.133,0.0,0.223,0.8,138.077,4,"['grime', 'uk hip hop']",57,352792
20,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Energy (Stay Far Away),2018-06-20,199521,True,1,62,2024-11-06,0.836,0.614,8,-4.543,0,0.311,0.345,9.86e-05,0.088,0.603,101.97,4,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",74,1372988
21,The Weekend,1r16zpUZ2nH44uOXlBGrbm,Stormzy,2SrSdSvpminqmStGELCSNd,The Weekend,2023-07-19,206035,True,1,61,2024-11-06,0.815,0.735,8,-3.906,0,0.168,0.22,2.72e-06,0.0875,0.759,94.498,4,"['grime', 'uk hip hop']",74,3000273
22,Greaze Mode,3nG784YlxS4VQOF0qiHKVP,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Ignorance is Bliss,2019-05-31,168400,True,2,61,2024-11-06,0.781,0.72,6,-8.347,0,0.165,0.112,4.1e-05,0.153,0.403,150.074,4,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",74,1372988
23,SLIME,5alFLxnNmBmTdNM6Oq0nqD,Shygirl,3M3wTTCDwicRubwMyHyEDy,SLIME,2020-10-21,159000,True,1,47,2024-11-06,0.793,0.717,1,-8.726,0,0.115,0.0303,0.0421,0.1,0.382,98.47,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
24,Girls Like (feat. Zara Larsson),0rHVd8h0cFwgLgPFem6S60,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,Girls Like (feat. Zara Larsson),2016-02-26,196000,True,1,58,2024-11-06,0.916,0.804,0,-3.406,1,0.049,0.37,1.18e-05,0.0812,0.538,120.028,4,"['dance pop', 'grime', 'pop rap']",64,840583
25,Written in the Stars (feat. Eric Turner),5e0dZqrrTaoj6AIL7VjnBM,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,Disc-Overy,2010-05-31,207600,False,8,43,2024-11-06,0.619,0.971,7,-3.045,1,0.13,0.0526,0.0,0.196,0.295,122.552,5,"['dance pop', 'grime', 'pop rap']",64,840583
26,tell me,6BUc9DJ6nxTpgFwWLAODyl,Shygirl,3M3wTTCDwicRubwMyHyEDy,Club Shy (extended),2024-03-01,163532,False,4,46,2024-11-06,0.698,0.751,2,-5.922,0,0.0314,0.0164,0.0145,0.109,0.433,138.004,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
27,Ladbroke Grove,7AODNxFNPnKaz4hURLzw5l,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,AJ Tracey,2019-02-08,190537,False,11,65,2024-11-06,0.902,0.839,11,-9.447,0,0.208,0.0933,0.0,0.102,0.727,133.989,4,"['grime', 'uk hip hop', 'ukg revival']",68,1337430
28,ЛАБИРИНТ,7biChppM3c8q7qcVl7ceb2,FACE,2z20q6EEfm6w6PiIKsgtb3,12,2019-10-01,169130,False,2,61,2024-11-06,0.866,0.722,4,-6.497,0,0.144,0.213,0.0,0.183,0.912,137.943,4,"['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']",63,1790422
29,BB,5LbZrfWzafeYlwzbHtpAqD,Shygirl,3M3wTTCDwicRubwMyHyEDy,BB,2019-10-21,166000,True,1,46,2024-11-06,0.684,0.837,0,-7.497,0,0.0477,0.00629,0.795,0.0819,0.258,130.019,4,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",65,292436
30,Pass Out,4Q4K8fikwOmZYmz82Wco4w,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,Disc-Overy,2010-05-31,268053,True,3,42,2024-11-06,0.693,0.891,1,-3.261,1,0.296,0.0281,0.0,0.143,0.532,91.1,4,"['dance pop', 'grime', 'pop rap']",64,840583
